Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Train F1,Val F1,Train AUC,Val AUC,Epoch Time
1,4.176927277755738,6.28624555867189,0.0531,0.011,0.04159529517768308,0.0002393669634025717,0.7312746454096818,0.6477650708802298,23.423009395599365
2,3.937891129684448,6.807731163729528,0.080275,0.0097,0.0625065939107124,0.00018637218975933446,0.7855412904755397,0.6796280119809158,23.39602565765381
3,3.8184325634002687,7.410742434726399,0.093725,0.0097,0.07490427468479238,0.00018637218975933446,0.8096799658017146,0.6530162766630151,23.193159341812134
4,3.6882791885375976,7.235207092989782,0.107575,0.0092,0.08879250709741252,0.00016773682124455013,0.8306947136173842,0.7434943292883637,23.36527967453003
5,3.5807480487823486,6.862341771459883,0.123275,0.01,0.10446215506443485,0.000198019801980198,0.8452770450710243,0.7425993144155014,23.459749698638916
6,3.4922621089935304,6.9694829381954895,0.13515,0.0104,0.11650466469817518,0.00021409342834520983,0.8566921810731892,0.7248060361880238,22.934056758880615
7,3.3965523525238037,7.606430278462209,0.154175,0.0098,0.13442030087065154,0.0001902158843335314,0.8672960568388653,0.7437198294423756,23.455034494400024
8,3.336719334793091,8.506466215583169,0.16415,0.0107,0.14351009115391555,0.00022655585237953892,0.8742253116242966,0.6140623826852162,23.630263805389404
9,3.276746319580078,9.612724182712045,0.1764,0.0119,0.15462925271746153,0.00027988931712619826,0.8802640181423914,0.6612214779298443,23.94456171989441
10,3.225174275970459,9.755104599484973,0.18575,0.0095,0.16382694428549902,0.00017880138682516096,0.8852175492094274,0.7590273972569631,23.38235306739807
11,3.1880902782440184,8.408550757511406,0.19075,0.01,0.16856351192774008,0.000198019801980198,0.8890377337370944,0.7019312580331837,23.60228729248047
12,3.138154160308838,7.858670608253236,0.200625,0.0098,0.1791310738499302,0.0001902158843335314,0.8936914246454531,0.7454969092970889,23.831780195236206
13,3.0908062976837156,8.703481877685352,0.209575,0.0105,0.18780096017185474,0.00021820880752102925,0.8974462237959925,0.7405469615834916,23.091977834701538
14,3.0481978092193605,10.275684727225334,0.2185,0.0107,0.19640592662247136,0.00022655585237953892,0.9014115553366169,0.7235478992597444,23.02158546447754
15,3.0057568237304686,8.1843449993498,0.228925,0.0094,0.20769550246658042,0.0001750743015652863,0.9047482798651635,0.7827211228783487,23.298131942749023
16,2.965944314956665,8.03891072911062,0.2346,0.0096,0.21304987625279317,0.00018256735340728997,0.9080928497563134,0.7337100269620843,23.360792636871338
